module_name,function_name,block_name,cycles,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_read,int_regfile_write,float_regfile_read,float_regfile_write
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.body3,19,1,9.0072e+15,3,3,0,0,21,5,7,7,0,0,0,0,0,0,0,0,21,5,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.cond6,24,2,1.80144e+16,4,0,0,0,16,4,6,4,0,2,0,0,0,0,0,0,16,4,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.body8,83,1,9.0072e+15,13,2,0,0,57,21,20,20,0,0,0,0,0,2,2,0,57,21,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.inc19,8,1,9.0072e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.end21,1,1,9.0072e+15,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.cond22,24,2,1.80144e+16,4,0,0,0,16,4,6,4,0,2,0,0,0,0,0,0,16,4,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.body24,83,1,9.0072e+15,13,2,0,0,57,21,20,20,0,0,0,0,0,2,2,0,57,21,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.inc35,8,1,9.0072e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.end37,1,1,9.0072e+15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.inc38,8,1,9.0072e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,kernel_atax,for.end40,7,1,9.0072e+15,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1,2,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,print_array,entry,52,1,9.0072e+15,3,4,0,0,55,18,20,14,0,0,0,2,2,0,0,0,55,18,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,print_array,for.cond,24,2,1.80144e+16,4,0,0,0,16,4,6,4,0,2,0,0,0,0,0,0,16,4,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,print_array,for.body,41,1,9.0072e+15,2,1,0,0,17,11,9,7,0,1,0,0,0,1,0,0,17,11,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,print_array,if.then,24,1,4.5036e+15,2,1,0,0,22,8,8,6,0,0,0,1,1,0,0,0,22,8,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,print_array,if.end,33,1,9.0072e+15,4,0,0,0,24,8,8,6,0,0,0,1,1,0,0,0,24,8,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,print_array,for.inc,8,1,9.0072e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
PolyBenchC-4.2.1/linear-algebra/kernels/atax/atax.c,print_array,for.end,43,1,9.0072e+15,2,0,0,0,34,15,14,7,0,0,0,2,3,0,0,0,34,15,0,0
module_name,function_name,block_name,cycles,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_read,int_regfile_write,float_regfile_read,float_regfile_write
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_flush_cache,entry,28,1,9.0072e+15,2,5,0,0,33,9,12,10,0,0,0,1,1,0,0,0,33,9,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_flush_cache,for.cond,24,2,1.80144e+16,4,0,0,0,16,4,6,4,0,2,0,0,0,0,0,0,16,4,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_flush_cache,for.body,33,1,9.0072e+15,5,2,0,0,26,7,8,8,0,0,0,0,0,0,1,0,26,7,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_flush_cache,for.inc,8,1,9.0072e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_flush_cache,for.end,15,1,9.0072e+15,1,0,0,0,9,2,3,1,0,1,0,0,0,0,0,0,9,2,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_flush_cache,if.then,8,1,4.5036e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_flush_cache,if.else,9,1,4.5036e+15,0,0,0,0,15,4,5,1,0,0,0,1,1,0,0,0,15,4,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_flush_cache,if.end,18,1,4.5036e+15,1,0,0,0,8,5,5,2,0,0,0,1,2,0,0,0,8,5,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_prepare_instruments,entry,25,1,1.80144e+16,1,1,0,0,14,7,8,4,0,0,0,1,2,0,0,0,14,7,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_timer_start,entry,31,1,1.80144e+16,1,2,0,0,20,8,10,5,0,0,0,2,3,0,0,0,20,8,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_timer_stop,entry,26,1,1.80144e+16,1,2,0,0,18,8,9,5,0,0,0,1,2,0,0,0,18,8,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_timer_print,entry,42,1,1.80144e+16,3,1,0,0,28,12,12,7,0,0,0,1,2,0,1,0,28,12,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_free_data,entry,33,1,1.80144e+16,2,2,0,0,24,12,12,8,0,0,0,1,2,0,0,0,24,12,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,polybench_alloc_data,entry,60,1,1.80144e+16,6,6,0,0,54,18,20,16,0,0,0,1,2,1,0,0,54,18,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,xmalloc,entry,54,1,1.80144e+16,6,6,0,0,57,17,20,16,0,1,0,1,1,0,0,0,57,17,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,xmalloc,lor.lhs.false,14,1,9.0072e+15,2,1,0,0,12,4,5,4,0,1,0,0,0,0,0,0,12,4,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,xmalloc,lop.rhscnt,8,1,4.5036e+15,1,1,0,0,8,3,4,3,0,1,0,0,0,0,0,0,8,3,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,xmalloc,if.then,30,1,1.35108e+16,2,1,0,0,25,9,10,7,0,0,0,2,2,0,0,0,25,9,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,xmalloc,if.end,13,1,4.5036e+15,1,0,0,0,6,5,4,2,0,0,0,0,1,0,0,0,6,5,0,0
./PolyBenchC-4.2.1/utilities/polybench.c,rtclock,entry,20,1,1.80144e+16,1,1,0,0,13,7,7,4,0,0,0,0,1,0,0,0,13,7,0,0
module_name,function_name,block_name,cycles,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_read,int_regfile_write,float_regfile_read,float_regfile_write
./objects//atax.pgo.merged.ll,main,entry,71,1,1.80144e+16,0,0,0,0,42,28,19,5,0,1,0,6,6,0,0,0,42,28,0,0
./objects//atax.pgo.merged.ll,main,land.lhs.true,12,1,6.0048e+15,2,0,0,0,7,2,3,2,0,1,0,0,0,0,0,0,7,2,0,0
./objects//atax.pgo.merged.ll,main,if.then,5,1,3.53219e+14,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,3,2,0,0
./objects//atax.pgo.merged.ll,main,if.end,63,1,1.80144e+16,0,0,0,0,20,22,12,1,0,0,0,4,5,0,0,0,20,22,0,0
./objects//atax.pgo.merged.ll,init_array,entry,36,1,3.6169e+10,6,0,0,0,18,6,6,6,0,0,0,0,0,0,0,0,18,6,0,0
./objects//atax.pgo.merged.ll,init_array,vector.body,16800,175,6.32957e+12,0,525,0,0,7350,2625,3150,1925,0,175,0,0,0,525,0,0,7350,2625,0,0
./objects//atax.pgo.merged.ll,init_array,vector.ph2.preheader,36,1,3.6169e+10,6,0,0,0,18,6,6,6,0,0,0,0,0,0,0,0,18,6,0,0
./objects//atax.pgo.merged.ll,init_array,vector.ph2,2851.5,950.5,3.43786e+13,0,0,0,0,3802,2851.5,2851.5,950.5,0,0,0,0,0,0,0,0,3802,2851.5,0,0
./objects//atax.pgo.merged.ll,init_array,vector.body3,5.87713e+07,498062,1.80144e+16,0,996124,0,0,3.2374e+07,1.79302e+07,1.89264e+07,2.98837e+06,0,498062,0,0,0,4.98062e+06,0,0,3.2374e+07,1.79302e+07,0,0
./objects//atax.pgo.merged.ll,init_array,for.inc22,3802,950.5,3.43786e+13,0,0,0,0,3802,4752.5,3802,2851.5,0,950.5,0,0,0,0,0,0,3802,4752.5,0,0
./objects//atax.pgo.merged.ll,init_array,for.end24,6,1,3.6169e+10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
./objects//atax.pgo.merged.ll,kernel_atax,entry,44,1,2.71138e+10,0,0,0,0,42,25,20,7,0,0,0,1,1,0,0,0,42,25,0,0
./objects//atax.pgo.merged.ll,kernel_atax,for.body3,950.5,950.5,2.57717e+13,0,950.5,0,0,2851.5,0,950.5,950.5,0,0,0,0,0,0,0,0,2851.5,0,0,0
./objects//atax.pgo.merged.ll,kernel_atax,for.body8,4.38504e+07,664399,1.80144e+16,3.9864e+06,1.9932e+06,0,0,3.18912e+07,7.97279e+06,9.96599e+06,9.30159e+06,0,664399,0,0,0,1.9932e+06,3.9864e+06,0,3.18912e+07,7.97279e+06,0,0
./objects//atax.pgo.merged.ll,kernel_atax,vector.memcheck,1901,950.5,2.57717e+13,0,0,0,0,2851.5,950.5,1901,950.5,0,950.5,0,0,0,0,0,0,2851.5,950.5,0,0
./objects//atax.pgo.merged.ll,kernel_atax,for.body24.preheader,0,7.42578,2.01341e+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./objects//atax.pgo.merged.ll,kernel_atax,for.body24,430.695,7.42578,2.01341e+11,44.5547,14.8516,0,0,274.754,66.832,89.1094,74.2578,0,14.8516,0,0,0,14.8516,29.7031,0,274.754,66.832,0,0
./objects//atax.pgo.merged.ll,kernel_atax,vector.body.preheader,6601.52,943.074,2.55703e+13,943.074,0,0,0,4715.37,1886.15,1886.15,943.074,0,0,0,0,0,0,0,0,4715.37,1886.15,0,0
./objects//atax.pgo.merged.ll,kernel_atax,vector.body,2.22377e+07,494171,1.33989e+16,1.97668e+06,988342,0,0,1.7296e+07,5.43588e+06,6.42422e+06,5.93005e+06,0,494171,0,0,0,988342,0,0,1.7296e+07,5.43588e+06,0,0
./objects//atax.pgo.merged.ll,kernel_atax,for.inc38,3802,950.5,2.57717e+13,0,0,0,0,3802,4752.5,3802,2851.5,0,950.5,0,0,0,0,0,0,3802,4752.5,0,0
./objects//atax.pgo.merged.ll,kernel_atax,for.end40,36,1,2.71138e+10,0,0,0,0,5,10,6,0,0,0,0,0,1,0,0,0,5,10,0,0
./objects//atax.pgo.merged.ll,print_array,entry,51,1,5.62942e+14,3,0,0,0,31,15,11,4,0,0,0,2,2,0,0,0,31,15,0,0
./objects//atax.pgo.merged.ll,print_array,for.body,288.004,32.0005,1.80144e+16,0,0,0,0,416.006,448.007,224.003,160.002,0,32.0005,0,0,0,32.0005,0,0,416.006,448.007,0,0
./objects//atax.pgo.merged.ll,print_array,if.then,176.003,16.0002,9.0072e+15,16.0002,0,0,0,112.002,80.0012,48.0007,32.0005,0,0,0,16.0002,16.0002,0,0,0,112.002,80.0012,0,0
./objects//atax.pgo.merged.ll,print_array,if.end,672.01,32.0005,1.80144e+16,64.0009,0,0,0,512.008,384.006,256.004,192.003,0,32.0005,0,32.0005,32.0005,0,0,0,512.008,384.006,0,0
./objects//atax.pgo.merged.ll,print_array,for.end,46,1,5.62942e+14,2,0,0,0,23,15,9,2,0,0,0,1,1,0,0,0,23,15,0,0
./objects//atax.pgo.merged.ll,polybench_flush_cache,entry,6,1,1.80144e+16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
./objects//atax.pgo.merged.ll,polybench_prepare_instruments,entry,6,1,1.80144e+16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
./objects//atax.pgo.merged.ll,polybench_timer_start,entry,7,1,1.80144e+16,0,1,0,0,3,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0
./objects//atax.pgo.merged.ll,polybench_timer_stop,entry,7,1,1.80144e+16,0,1,0,0,3,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0
./objects//atax.pgo.merged.ll,polybench_timer_print,entry,17,1,1.80144e+16,2,0,0,0,13,3,4,3,0,0,0,0,0,0,1,0,13,3,0,0
./objects//atax.pgo.merged.ll,polybench_free_data,entry,1,1,1.80144e+16,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
./objects//atax.pgo.merged.ll,polybench_alloc_data,entry,5,1,1.80144e+16,0,0,0,0,6,3,3,2,0,0,0,0,0,1,0,0,6,3,0,0
./objects//atax.pgo.merged.ll,xmalloc,entry,20,1,1.80144e+16,1,1,0,0,20,9,8,4,0,1,0,1,1,0,0,0,20,9,0,0
./objects//atax.pgo.merged.ll,xmalloc,entry,2,1,1.52622e+16,0,0,0,0,3,1,2,1,0,1,0,0,0,0,0,0,3,1,0,0
./objects//atax.pgo.merged.ll,xmalloc,if.end,13,1,1.251e+16,0,0,0,0,3,4,3,1,0,0,0,0,1,0,0,0,3,4,0,0
./objects//atax.pgo.merged.ll,xmalloc,if.then,21,1,5.5044e+15,2,0,0,0,15,8,5,3,0,0,0,2,2,0,0,0,15,8,0,0
